droga,tokens_composicion,cantidad_productos,marcas_ejemplo,conflicto_existente,atc,clases_terapeuticas
iobitridol,iobitridol,6,"XENETIX 300, XENETIX 350",,,
lapatinib,lapatinib,6,"EDITAS, LAPANOVA, NOTISTIR",,,
"leuprolide,acetato",acetato + leuprolide,6,"ELIGARD 22.5 MG, ELIGARD 45 MG, LECTRUM 22.5 MG",,,
magnesio,magnesio,6,"MAGNEBE, TOTAL MAGNESIANO EFERVESC, TOTAL MAGNESIANO LIMON",,,
minociclina,minociclina,6,"DRENIX 100, DRENIX 100 AP, DRENIX 50","clases en disputa: {'Antiinfecciosos de Uso Sistémico: Antibióticos: Amfenicoles': 1, 'Antiinfecciosos de Uso Sistémico: Antibióticos: Tetraciclinas': 5}",,
"peg 3350, asoc.",asoc. + peg 3350,6,"BAREX 70, BAREX PLUS, BAREX S",,,
prucalopride,prucalopride,6,"DOSNE, PRUCACINET, RESOLIDE",,,
rivastigmina,rivastigmina,6,"EXELON PARCHES 10, EXELON PARCHES 15, EXELON PARCHES 5",,,
ropivacaina,ropivacaina,6,"NAROPIN, ROPI",,,
"valsartán, hidrocloroti., amlo",amlo + hidrocloroti. + valsartan,6,"DILCORAN PLUS D, NOSTER D",,,
"vit.b,complejo",complejo + vit.b,6,"BAGO B1 B6 B12, POLI B FUERTE, TANVIMIL B1 B6 B12",,,
vit.b12,vit.b12,6,"BEGAN 12, SL B12",,,
ambroxol,ambroxol,5,"BRONQUISEDAN NI¥OS, EXPECTOSAN TE CALIENTE, MUCOBRON","atc en disputa: {'R02AD05': 1, 'R05CB06': 1}",,
"amilo,salicilato, asoc.",amilo + asoc. + salicilato,5,"ATOMO DESINFLAMANTE AEROS, ATOMO DESINFLAMANTE CLASI, RATI SALIL CREMA",,,
ampicilina,ampicilina,5,"AMPICILINA HLB, TRIFACILINA",,,
bempedoico ác.,bempedoico ac.,5,"BEMPENAL, BENLIPID, BRIMEPIL 180",,,
